Title,,,,
ARSON,,,,
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,ASSAULT,,"'ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER': 'ASSAULT',",
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",ASSAULT,,"'ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT': 'ASSAULT',",
ATTEMPTED ROBBERY,ROBBERY,,"'ATTEMPTED ROBBERY': 'ROBBERY',",
BATTERY - SIMPLE ASSAULT,ASSAULT,,"'BATTERY - SIMPLE ASSAULT': 'ASSAULT',",
BATTERY ON A FIREFIGHTER,ASSAULT,,"'BATTERY ON A FIREFIGHTER': 'ASSAULT',",
BATTERY POLICE (SIMPLE),ASSAULT,,"'BATTERY POLICE (SIMPLE)': 'ASSAULT',",
BATTERY WITH SEXUAL CONTACT,ASSAULT,,"'BATTERY WITH SEXUAL CONTACT': 'ASSAULT',",
BIKE - STOLEN,THEFT,,"'BIKE - STOLEN': 'THEFT',",
BOMB SCARE,,,,
BRANDISH WEAPON,DISCHARGE FIREARMS,,"'BRANDISH WEAPON': 'DISCHARGE FIREARMS',",
"BUNCO, ATTEMPT",,,,
"BUNCO, GRAND THEFT",THEFT,,"'BUNCO, GRAND THEFT': 'THEFT',",
"BUNCO, PETTY THEFT",THEFT,,"'BUNCO, PETTY THEFT': 'THEFT',",
BURGLARY,ROBBERY,,"'BURGLARY': 'ROBBERY',",
BURGLARY FROM VEHICLE,ROBBERY,,"'BURGLARY FROM VEHICLE': 'ROBBERY',",
"BURGLARY FROM VEHICLE, ATTEMPTED",ROBBERY,,"'BURGLARY FROM VEHICLE, ATTEMPTED': 'ROBBERY',",
"BURGLARY, ATTEMPTED",ROBBERY,,"'BURGLARY, ATTEMPTED': 'ROBBERY',",
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,ASSAULT,,"'CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT': 'ASSAULT',",
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,ASSAULT,,"'CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT': 'ASSAULT',",
CHILD ANNOYING (17YRS & UNDER),CHILD RELATED,,"'CHILD ANNOYING (17YRS & UNDER)': 'CHILD RELATED',",
CHILD NEGLECT (SEE 300 W.I.C.),CHILD RELATED,,"'CHILD NEGLECT (SEE 300 W.I.C.)': 'CHILD RELATED',",
CHILD PORNOGRAPHY,CHILD RELATED,,"'CHILD PORNOGRAPHY': 'CHILD RELATED',",
CHILD STEALING,KIDNAPPING,,"'CHILD STEALING': 'KIDNAPPING',",
CONTEMPT OF COURT,,,,
COUNTERFEIT,,,,
"CREDIT CARDS, FRAUD USE ($950 & UNDER",FRAUD,,"'CREDIT CARDS, FRAUD USE ($950 & UNDER': 'FRAUD',",
CRIMINAL HOMICIDE,,,,
CRIMINAL THREATS - NO WEAPON DISPLAYED,THREAT,,"'CRIMINAL THREATS - NO WEAPON DISPLAYED': 'THREAT',",
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),CHILD RELATED,,"'CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)': 'CHILD RELATED',",
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",THEFT,,"'DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER': 'THEFT',",
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",THEFT,,"'DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01': 'THEFT',",
DISCHARGE FIREARMS/SHOTS FIRED,DISCHARGE FIREARMS,,"'DISCHARGE FIREARMS/SHOTS FIRED': 'DISCHARGE FIREARMS',",
DISHONEST EMPLOYEE - GRAND THEFT,THEFT,,"'DISHONEST EMPLOYEE - GRAND THEFT': 'THEFT',",
DISTURBING THE PEACE,,,,
DOCUMENT FORGERY / STOLEN FELONY,THEFT,,"'DOCUMENT FORGERY / STOLEN FELONY': 'THEFT',",
DOCUMENT WORTHLESS ($200 & UNDER),OTHER MISCELLANEOUS CRIME,,"'DOCUMENT WORTHLESS ($200 & UNDER)': 'OTHER MISCELLANEOUS CRIME',",
DOCUMENT WORTHLESS ($200.01 & OVER),OTHER MISCELLANEOUS CRIME,,"'DOCUMENT WORTHLESS ($200.01 & OVER)': 'OTHER MISCELLANEOUS CRIME',",
DRIVING WITHOUT OWNER CONSENT (DWOC),OTHER MISCELLANEOUS CRIME,,"'DRIVING WITHOUT OWNER CONSENT (DWOC)': 'OTHER MISCELLANEOUS CRIME',",
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",THEFT,,"'EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)': 'THEFT',",
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",THEFT,,"'EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)': 'THEFT',",
EXTORTION,OTHER MISCELLANEOUS CRIME,,"'EXTORTION': 'OTHER MISCELLANEOUS CRIME',","EXTORTION': 'OTHER MISCELLANEOUS CRIME',"
FAILURE TO YIELD,OTHER MISCELLANEOUS CRIME,,"'FAILURE TO YIELD': 'OTHER MISCELLANEOUS CRIME',",
FALSE IMPRISONMENT,OTHER MISCELLANEOUS CRIME,,"'FALSE IMPRISONMENT': 'OTHER MISCELLANEOUS CRIME',",
FIREARMS RESTRAINING ORDER (FIREARMS RO),RESTRAINING ORDER,,"'FIREARMS RESTRAINING ORDER (FIREARMS RO)': 'RESTRAINING ORDER',",
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,HUMAN TRAFFICKING,,"'HUMAN TRAFFICKING - COMMERCIAL SEX ACTS': 'HUMAN TRAFFICKING',",
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,HUMAN TRAFFICKING,,"'HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE': 'HUMAN TRAFFICKING',",
INDECENT EXPOSURE,OTHER MISCELLANEOUS CRIME,,"'INDECENT EXPOSURE': 'OTHER MISCELLANEOUS CRIME',",
INTIMATE PARTNER - AGGRAVATED ASSAULT,ASSAULT,,"'INTIMATE PARTNER - AGGRAVATED ASSAULT': 'ASSAULT',",
INTIMATE PARTNER - SIMPLE ASSAULT,ASSAULT,,"'INTIMATE PARTNER - SIMPLE ASSAULT': 'ASSAULT',",
KIDNAPPING,,,,
KIDNAPPING - GRAND ATTEMPT,KIDNAPPING,,"'KIDNAPPING - GRAND ATTEMPT': 'KIDNAPPING',",
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",STALKING,,"'LETTERS, LEWD  -  TELEPHONE CALLS, LEWD': 'STALKING',",
LEWD CONDUCT,STALKING,,"'LEWD CONDUCT': 'STALKING',",
LEWD/LASCIVIOUS ACTS WITH CHILD,,,,
ORAL COPULATION,ASSAULT,,"'ORAL COPULATION': 'ASSAULT',",
OTHER ASSAULT,ASSAULT,,"'OTHER ASSAULT': 'ASSAULT',",
OTHER MISCELLANEOUS CRIME,,,,
PEEPING TOM,OTHER MISCELLANEOUS CRIME,,"'PEEPING TOM': 'OTHER MISCELLANEOUS CRIME',",
PICKPOCKET,OTHER MISCELLANEOUS CRIME,,"'PICKPOCKET': 'OTHER MISCELLANEOUS CRIME',",
PIMPING,OTHER MISCELLANEOUS CRIME,,"'PIMPING': 'OTHER MISCELLANEOUS CRIME',",
PROWLER,OTHER MISCELLANEOUS CRIME,,"'PROWLER': 'OTHER MISCELLANEOUS CRIME',",
PURSE SNATCHING,THEFT,,"'PURSE SNATCHING': 'THEFT',",
"RAPE, ATTEMPTED",ASSAULT,,"'RAPE, ATTEMPTED': 'ASSAULT',",
"RAPE, FORCIBLE",ASSAULT,,"'RAPE, FORCIBLE': 'ASSAULT',",
RESISTING ARREST,RESTRAINING ORDER,,"'RESISTING ARREST': 'RESTRAINING ORDER',",
ROBBERY,,,,
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,OTHER MISCELLANEOUS CRIME,,"'SEX OFFENDER REGISTRANT OUT OF COMPLIANCE': 'OTHER MISCELLANEOUS CRIME',",
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",ASSAULT,,"'SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ': 'ASSAULT',",
SEXUAL PENETRATION W/FOREIGN OBJECT,ASSAULT,,"'SEXUAL PENETRATION W/FOREIGN OBJECT': 'ASSAULT',",
SHOPLIFTING - ATTEMPT,THEFT,,"'SHOPLIFTING - ATTEMPT': 'THEFT',",
SHOPLIFTING - PETTY THEFT ($950 & UNDER),THEFT,,"'SHOPLIFTING - PETTY THEFT ($950 & UNDER)': 'THEFT',",
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),THEFT,,"'SHOPLIFTING-GRAND THEFT ($950.01 & OVER)': 'THEFT',",
SHOTS FIRED AT INHABITED DWELLING,DISCHARGE FIREARMS,,"'SHOTS FIRED AT INHABITED DWELLING': 'DISCHARGE FIREARMS',",
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",DISCHARGE FIREARMS,,"'SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT': 'DISCHARGE FIREARMS',",
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,ASSAULT,,"'SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH': 'ASSAULT',",
STALKING,,,,
THEFT FROM MOTOR VEHICLE - ATTEMPT,THEFT,,"'THEFT FROM MOTOR VEHICLE - ATTEMPT': 'THEFT',",
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),THEFT,,"'THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)': 'THEFT',",
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),THEFT,,"'THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)': 'THEFT',",
THEFT FROM PERSON - ATTEMPT,THEFT,,"'THEFT FROM PERSON - ATTEMPT': 'THEFT',",
THEFT OF IDENTITY,THEFT,,"'THEFT OF IDENTITY': 'THEFT',",
THEFT PLAIN - ATTEMPT,THEFT,,"'THEFT PLAIN - ATTEMPT': 'THEFT',",
THEFT PLAIN - PETTY ($950 & UNDER),THEFT,,"'THEFT PLAIN - PETTY ($950 & UNDER)': 'THEFT',",
"THEFT, PERSON",THEFT,,"'THEFT, PERSON': 'THEFT',",
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",THEFT,,"'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD': 'THEFT',",
THREATENING PHONE CALLS/LETTERS,THREAT,,"'THREATENING PHONE CALLS/LETTERS': 'THREAT',",
THROWING OBJECT AT MOVING VEHICLE,VANDALISM,,"'THROWING OBJECT AT MOVING VEHICLE': 'VANDALISM',",
TILL TAP - GRAND THEFT ($950.01 & OVER),THEFT,,"'TILL TAP - GRAND THEFT ($950.01 & OVER)': 'THEFT',",
TILL TAP - PETTY ($950 & UNDER),THEFT,,"'TILL TAP - PETTY ($950 & UNDER)': 'THEFT',",
TRESPASSING,,,,
UNAUTHORIZED COMPUTER ACCESS,CYBER CRIME,,"'UNAUTHORIZED COMPUTER ACCESS': 'CYBER CRIME',",
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",VANDALISM,,"'VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)': 'VANDALISM',",
VANDALISM - MISDEAMEANOR ($399 OR UNDER),VANDALISM,,"'VANDALISM - MISDEAMEANOR ($399 OR UNDER)': 'VANDALISM',",
VEHICLE - ATTEMPT STOLEN,THEFT,,"'VEHICLE - ATTEMPT STOLEN': 'THEFT',",
VEHICLE - STOLEN,THEFT,,"'VEHICLE - STOLEN': 'THEFT',",
VIOLATION OF COURT ORDER,,,,
VIOLATION OF RESTRAINING ORDER,RESTRAINING ORDER,,"'VIOLATION OF RESTRAINING ORDER': 'RESTRAINING ORDER',",
VIOLATION OF TEMPORARY RESTRAINING ORDER,RESTRAINING ORDER,,"'VIOLATION OF TEMPORARY RESTRAINING ORDER': 'RESTRAINING ORDER',",
